,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
8634,George Gershwin,0.930141176470588,0.3815058823529413,416486.61176470586,0.2492671764705882,0.4438116244705882,0.1946,-16.810423529411768,0.0496105882352941,104.84725882352942,0.3098423529411765,9.129411764705884,5,1,85
8635,George Gillies,0.636,0.738,138240.0,0.282,0.0,0.332,-14.913,0.438,116.677,0.75,41.0,0,1,1
8636,George Givot,0.989,0.2315,161380.0,0.2805,0.19705,0.18925,-13.589,0.034,120.57700000000004,0.2825,40.5,5,1,2
8637,George Green,0.987,0.413,193907.0,0.218,0.913,0.0996,-12.858,0.0307,78.53399999999998,0.381,8.0,1,1,1
8638,George Guzman,0.245,0.489,247053.0,0.487,0.00763,0.0508,-10.809,0.0498,149.553,0.604,30.0,7,0,2
8639,George Hall,0.833,0.7040000000000001,105493.0,0.227,0.0,0.0612,-18.377,0.442,125.929,0.809,9.0,0,1,1
8640,George Hamilton IV,0.6302857142857142,0.5935714285714286,147876.0,0.4472857142857142,0.0006531428571428,0.1795428571428571,-13.000571428571426,0.0332571428571428,118.44257142857144,0.7437142857142857,21.714285714285715,4,1,14
8641,George Handy Orchestra,0.926,0.339,287600.0,0.213,0.8079999999999999,0.166,-12.218,0.0619,93.004,0.171,0.0,2,0,2
8642,George Harrison,0.3463378469387756,0.5196326530612241,245146.54081632648,0.5743377551020405,0.0978433064285714,0.196373469387755,-10.371448979591827,0.0352428571428571,121.72925510204088,0.5413948979591838,38.08163265306123,4,1,196
8643,George Hearn,0.868,0.34,180667.0,0.383,0.000723,0.0598,-20.288,0.138,87.586,0.189,20.0,9,1,2
8644,George Howard,0.4073716666666667,0.7100000000000001,310317.66666666674,0.5123333333333333,0.2067126333333333,0.0922,-11.0495,0.0368166666666666,102.36016666666669,0.5825,33.333333333333336,11,1,12
8645,George Howard Clutsam,0.981,0.231,162800.0,0.176,0.0793,0.121,-18.62,0.0374,109.203,0.192,0.0,7,1,2
8646,George Jean,0.5564699999999999,0.4519,315557.4,0.4159,0.4751203119999999,0.8206999999999999,-17.660700000000006,0.20048,113.3022,0.4445,1.3,5,0,10
